Stp	Dv	Time	Temp	R_DS_On	DevI	DevV	Fault
0	0	0.010	298.526	0.014	60.848	77.912	1
0	1	0.010	298.369	0.014	46.415	23.832	0
0	2	0.010	298.164	0.014	11.588	0.000	0
0	3	0.010	299.717	0.015	124.154	0.000	1
1	0	0.020	298.871	0.014	49.274	70.887	1
1	1	0.020	298.855	0.014	58.395	54.335	1
1	2	0.020	299.102	0.015	80.979	58.618	0
1	3	0.020	300.704	0.015	83.481	22.844	1
2	0	0.030	300.947	0.015	119.814	74.894	0
2	1	0.030	302.232	0.015	152.734	71.619	0
2	2	0.030	299.752	0.015	67.294	80.631	1
2	3	0.030	303.193	0.015	131.449	73.732	0
3	0	0.040	302.516	0.015	104.633	19.584	1
3	1	0.040	302.228	0.015	13.533	29.878	0
3	2	0.040	299.776	0.015	15.809	80.002	1
3	3	0.040	304.343	0.015	90.355	29.747	1
4	0	0.050	303.405	0.015	79.614	59.675	0
4	1	0.050	302.212	0.015	9.910	80.250	1
4	2	0.050	299.784	0.015	11.782	59.723	1
4	3	0.050	305.381	0.015	86.291	3.295	1
5	0	0.060	303.379	0.015	9.615	67.938	1
5	1	0.060	302.182	0.015	0.000	9.849	0
5	2	0.060	302.567	0.015	138.800	0.000	1
5	3	0.060	306.292	0.015	81.400	43.011	1
6	0	0.070	303.573	0.015	40.056	33.283	0
6	1	0.070	302.796	0.015	66.603	84.226	1
6	2	0.070	303.992	0.015	100.151	78.624	0
6	3	0.070	309.504	0.015	149.832	60.776	0
7	0	0.080	304.650	0.015	87.640	68.913	0
7	1	0.080	304.348	0.015	104.448	12.191	1
7	2	0.080	304.155	0.015	37.662	50.322	1
7	3	0.080	310.008	0.015	63.492	42.112	0
8	0	0.090	305.082	0.015	57.431	49.131	1
8	1	0.090	304.868	0.015	62.381	47.057	0
8	2	0.090	305.680	0.015	103.870	19.348	1
8	3	0.090	310.871	0.015	80.674	68.300	0
9	0	0.100	305.504	0.015	57.038	55.963	1
9	1	0.100	307.185	0.015	127.486	55.201	0
9	2	0.100	306.275	0.015	66.855	75.155	1
9	3	0.100	310.831	0.015	19.574	52.011	1
10	0	0.110	307.039	0.015	104.474	8.540	1
10	1	0.110	308.962	0.015	112.455	31.765	1
10	2	0.110	307.755	0.015	102.789	55.298	0
10	3	0.110	313.221	0.015	130.336	9.775	1
11	0	0.120	307.108	0.015	30.501	83.942	1
11	1	0.120	309.075	0.015	36.435	37.042	0
11	2	0.120	308.230	0.015	61.218	55.146	1
11	3	0.120	313.995	0.015	77.781	58.929	0
12	0	0.130	307.595	0.015	61.612	42.180	0
12	1	0.130	311.276	0.015	124.992	67.791	0
12	2	0.130	308.456	0.015	45.503	16.370	0
12	3	0.130	313.876	0.015	1.213	19.494	0
13	0	0.140	308.212	0.015	68.649	15.620	0
13	1	0.140	311.702	0.015	59.896	49.623	1
13	2	0.140	309.110	0.015	70.739	27.790	0
13	3	0.140	315.147	0.015	97.299	22.490	1
14	0	0.150	308.473	0.015	48.048	65.827	1
14	1	0.150	313.651	0.015	118.352	32.956	1
14	2	0.150	309.071	0.015	17.142	0.000	0
14	3	0.150	315.483	0.015	56.210	2.993	0
15	0	0.160	308.842	0.015	55.303	43.470	0
15	1	0.160	314.786	0.015	92.396	41.504	1
15	2	0.160	309.484	0.015	58.220	40.191	0
15	3	0.160	315.429	0.015	22.830	0.000	0
16	0	0.170	309.807	0.015	84.580	18.014	1
16	1	0.170	314.871	0.015	37.761	0.000	0
16	2	0.170	310.605	0.015	90.842	11.423	1
16	3	0.170	315.397	0.015	25.692	58.477	1
17	0	0.180	309.882	0.015	33.341	26.975	0
17	1	0.180	315.473	0.015	70.404	26.637	0
17	2	0.180	310.602	0.015	24.805	77.369	1
17	3	0.180	317.122	0.015	112.398	0.000	1
18	0	0.190	310.734	0.015	80.152	41.959	1
18	1	0.190	317.225	0.015	113.240	0.000	1
18	2	0.190	310.535	0.015	13.545	44.163	0
18	3	0.190	317.127	0.015	31.730	71.513	1
19	0	0.200	311.765	0.015	87.711	23.646	1
19	1	0.200	317.093	0.015	8.834	57.950	1
19	2	0.200	310.745	0.015	45.533	59.840	1
19	3	0.200	317.193	0.015	37.631	89.107	1
20	0	0.210	314.126	0.015	129.729	65.472	0
20	1	0.210	319.405	0.015	129.223	60.512	0
20	2	0.210	312.246	0.015	104.420	50.765	0
20	3	0.210	318.749	0.015	107.523	53.281	0
21	0	0.220	314.872	0.015	76.821	5.186	0
21	1	0.220	320.517	0.015	92.901	39.181	1
21	2	0.220	312.730	0.015	63.440	26.872	0
21	3	0.220	318.602	0.015	6.800	28.959	0
22	0	0.230	315.968	0.015	91.254	32.732	1
22	1	0.230	320.349	0.015	0.000	46.943	0
22	2	0.230	313.605	0.015	81.976	50.312	0
22	3	0.230	321.965	0.015	154.600	73.100	0
23	0	0.240	315.884	0.015	18.418	34.566	0
23	1	0.240	320.207	0.015	12.950	67.776	1
23	2	0.240	315.023	0.015	102.285	28.545	1
23	3	0.240	322.747	0.015	80.727	41.858	1
24	0	0.250	315.794	0.015	17.113	0.923	0
24	1	0.250	321.093	0.015	84.492	46.855	1
24	2	0.250	315.650	0.015	71.675	40.458	0
24	3	0.250	323.450	0.015	77.521	78.661	0
25	0	0.260	316.595	0.015	79.700	81.720	0
25	1	0.260	324.182	0.015	148.739	61.137	0
25	2	0.260	318.034	0.015	130.891	66.845	0
25	3	0.260	323.285	0.015	12.997	13.048	0
26	0	0.270	316.459	0.015	4.123	0.000	0
26	1	0.270	325.035	0.015	84.240	0.081	1
26	2	0.270	318.395	0.015	58.912	18.236	0
26	3	0.270	323.863	0.015	72.069	31.326	0
27	0	0.280	316.552	0.015	39.637	39.983	0
27	1	0.280	326.969	0.015	120.226	51.610	0
27	2	0.280	319.806	0.015	103.072	54.933	0
27	3	0.280	325.173	0.015	100.873	8.408	1
28	0	0.290	316.423	0.015	7.774	3.414	0
28	1	0.290	328.958	0.015	122.065	77.901	0
28	2	0.290	320.478	0.015	75.292	53.012	1
28	3	0.290	326.128	0.015	88.493	11.822	1
29	0	0.300	316.960	0.015	67.742	33.236	0
29	1	0.300	329.048	0.015	46.532	51.461	1
29	2	0.300	321.592	0.015	93.253	75.135	0
29	3	0.300	325.944	0.015	13.398	59.883	1
30	0	0.310	317.618	0.015	73.724	14.748	0
30	1	0.310	331.026	0.015	122.105	82.003	0
30	2	0.310	321.626	0.015	37.716	0.000	0
30	3	0.310	326.186	0.015	55.179	38.459	0
31	0	0.320	317.501	0.015	14.066	0.000	0
31	1	0.320	332.187	0.015	97.387	81.332	0
31	2	0.320	321.948	0.015	58.121	0.000	0
31	3	0.320	327.441	0.015	99.520	66.829	0
32	0	0.330	317.463	0.015	27.039	0.000	0
32	1	0.330	331.951	0.015	11.332	0.000	0
32	2	0.330	322.160	0.015	51.457	31.567	0
32	3	0.330	328.166	0.015	79.889	38.701	1
33	0	0.340	317.319	0.015	2.235	20.451	0
33	1	0.340	332.173	0.015	56.581	2.085	0
33	2	0.340	322.296	0.015	46.272	5.679	0
33	3	0.340	327.941	0.015	0.000	34.168	0
34	0	0.350	318.828	0.015	106.045	72.423	0
34	1	0.350	332.566	0.015	66.026	12.155	0
34	2	0.350	323.587	0.015	99.917	28.944	1
34	3	0.350	330.107	0.015	127.012	27.725	1
35	0	0.360	321.259	0.015	132.556	78.747	0
35	1	0.360	333.648	0.015	94.991	49.528	0
35	2	0.360	324.551	0.015	88.407	49.890	0
35	3	0.360	329.900	0.015	14.826	59.973	1
36	0	0.370	321.245	0.015	32.928	0.211	0
36	1	0.370	333.572	0.015	35.752	79.957	1
36	2	0.370	326.117	0.015	109.285	18.370	1
36	3	0.370	332.585	0.015	140.410	49.972	0
37	0	0.380	323.279	0.015	122.348	48.860	0
37	1	0.380	333.768	0.015	55.701	6.865	0
37	2	0.380	326.323	0.015	53.034	16.480	0
37	3	0.380	333.242	0.015	78.475	68.259	0
38	0	0.390	323.396	0.015	45.489	0.000	0
38	1	0.390	335.670	0.015	120.778	35.083	1
38	2	0.390	326.263	0.015	31.895	2.462	0
38	3	0.390	333.508	0.015	59.655	3.152	0
39	0	0.400	323.206	0.015	0.000	66.893	1
39	1	0.400	335.408	0.015	11.659	63.725	1
39	2	0.400	326.092	0.015	16.582	53.611	1
39	3	0.400	335.474	0.015	122.493	8.826	1
40	0	0.410	324.179	0.015	88.686	40.829	1
40	1	0.410	336.484	0.015	95.402	0.000	1
40	2	0.410	327.128	0.015	91.735	52.211	0
40	3	0.410	335.805	0.015	64.059	0.000	0
41	0	0.420	326.127	0.015	120.435	24.179	1
41	1	0.420	336.606	0.015	52.408	64.776	1
41	2	0.420	327.287	0.015	50.485	94.400	1
41	3	0.420	335.535	0.015	9.172	27.913	0
42	0	0.430	327.388	0.015	99.718	0.000	1
42	1	0.430	338.584	0.015	123.353	34.278	1
42	2	0.430	328.697	0.015	104.879	42.808	1
42	3	0.430	336.150	0.015	77.582	9.651	1
43	0	0.440	327.184	0.015	10.258	26.858	0
43	1	0.440	340.660	0.015	126.285	73.217	0
43	2	0.440	330.900	0.015	128.114	81.976	0
43	3	0.440	335.893	0.015	13.643	15.282	0
44	0	0.450	328.334	0.015	96.134	30.227	1
44	1	0.450	342.969	0.015	132.602	31.423	1
44	2	0.450	330.901	0.015	40.772	15.540	0
44	3	0.450	335.704	0.015	25.072	0.000	0
45	0	0.460	328.108	0.015	0.000	50.900	1
45	1	0.460	344.056	0.015	97.533	57.909	0
45	2	0.460	330.817	0.015	33.009	80.526	1
45	3	0.460	337.461	0.015	117.005	84.361	0
46	0	0.470	327.960	0.015	22.752	61.452	1
46	1	0.470	344.335	0.015	64.529	56.082	1
46	2	0.470	331.530	0.015	80.310	75.081	0
46	3	0.470	339.343	0.015	120.839	13.543	1
47	0	0.480	328.760	0.015	83.160	0.765	1
47	1	0.480	344.246	0.015	41.407	5.537	0
47	2	0.480	332.756	0.015	99.741	13.876	1
47	3	0.480	341.576	0.015	130.504	29.941	1
48	0	0.490	328.531	0.015	0.000	73.700	1
48	1	0.490	344.049	0.015	31.604	33.821	0
48	2	0.490	334.635	0.015	119.959	70.871	0
48	3	0.490	342.995	0.015	108.020	34.974	1
49	0	0.500	331.052	0.015	136.211	0.000	1
49	1	0.500	344.518	0.015	73.664	39.433	0
49	2	0.500	336.783	0.015	127.576	12.514	1
49	3	0.500	344.508	0.015	111.173	65.223	0
50	0	0.510	332.426	0.015	104.494	21.726	1
50	1	0.510	344.170	0.015	0.000	48.700	1
50	2	0.510	339.004	0.015	129.810	59.174	0
50	3	0.510	344.171	0.015	8.370	78.896	1
51	0	0.520	334.259	0.015	118.628	27.381	1
51	1	0.520	344.573	0.015	70.697	1.340	0
51	2	0.520	338.852	0.015	32.120	0.000	0
51	3	0.520	345.171	0.015	94.801	31.599	1
52	0	0.530	333.988	0.015	0.000	72.204	1
52	1	0.530	344.302	0.015	22.645	0.106	0
52	2	0.530	338.547	0.015	0.000	94.400	1
52	3	0.530	344.826	0.015	6.875	29.410	0
53	0	0.540	335.981	0.015	123.297	5.433	1
53	1	0.540	345.380	0.015	97.503	30.491	1
53	2	0.540	338.523	0.015	43.269	55.949	1
53	3	0.540	345.306	0.015	74.455	22.387	0
54	0	0.550	335.817	0.015	28.437	76.185	1
54	1	0.550	345.259	0.015	39.480	27.460	0
54	2	0.550	339.683	0.015	99.014	43.254	1
54	3	0.550	346.258	0.015	93.312	0.000	1
55	0	0.560	338.437	0.015	139.611	0.000	1
55	1	0.560	345.150	0.015	40.337	14.090	0
55	2	0.560	341.598	0.015	122.116	41.256	1
55	3	0.560	345.897	0.015	0.000	33.924	0
56	0	0.570	338.785	0.015	65.987	40.899	0
56	1	0.570	345.631	0.015	74.609	73.488	1
56	2	0.570	341.272	0.015	0.000	44.863	0
56	3	0.570	347.170	0.015	104.302	41.497	1
57	0	0.580	338.480	0.015	0.000	80.118	1
57	1	0.580	346.641	0.015	95.467	57.300	0
57	2	0.580	341.592	0.015	65.603	31.994	0
57	3	0.580	346.802	0.015	0.000	35.312	0
58	0	0.590	338.772	0.015	63.134	41.997	0
58	1	0.590	349.463	0.015	145.711	41.315	1
58	2	0.590	343.640	0.015	126.026	32.359	1
58	3	0.590	347.144	0.015	68.650	0.000	0
59	0	0.600	341.186	0.015	134.988	58.752	0
59	1	0.600	349.801	0.015	69.390	2.263	0
59	2	0.600	343.307	0.015	7.135	27.403	0
59	3	0.600	347.686	0.015	77.827	10.994	1
60	0	0.610	342.478	0.015	103.926	68.142	0
60	1	0.610	349.421	0.015	6.631	61.940	1
60	2	0.610	343.155	0.015	35.365	22.568	0
60	3	0.610	348.762	0.015	98.202	2.488	1
61	0	0.620	344.000	0.015	111.355	10.535	1
61	1	0.620	349.135	0.015	25.636	20.160	0
61	2	0.620	344.824	0.015	115.792	65.419	0
61	3	0.620	350.069	0.015	105.955	16.914	1
62	0	0.630	345.900	0.015	122.412	36.014	1
62	1	0.630	349.327	0.015	61.843	86.254	1
62	2	0.630	344.849	0.015	50.000	68.524	1
62	3	0.630	351.305	0.015	104.000	0.000	1
63	0	0.640	345.949	0.015	52.112	17.288	0
63	1	0.640	352.419	0.015	152.071	27.752	1
63	2	0.640	346.057	0.015	102.001	0.000	1
63	3	0.640	351.198	0.015	43.988	7.270	0
64	0	0.650	346.779	0.015	89.029	87.209	0
64	1	0.650	352.480	0.015	55.756	62.575	1
64	2	0.650	345.698	0.015	0.000	0.000	0
64	3	0.650	352.251	0.015	98.194	75.535	0
65	0	0.660	348.219	0.015	109.672	40.842	1
65	1	0.660	352.900	0.015	74.130	54.596	1
65	2	0.660	346.319	0.015	80.734	24.326	1
65	3	0.660	353.839	0.015	115.084	74.842	0
66	0	0.670	347.891	0.015	17.748	7.379	0
66	1	0.670	353.608	0.015	86.193	83.469	0
66	2	0.670	349.542	0.015	154.600	22.074	1
66	3	0.670	353.444	0.015	12.107	71.947	1
67	0	0.680	348.677	0.015	87.885	36.778	1
67	1	0.680	354.022	0.015	74.203	72.114	1
67	2	0.680	351.229	0.015	117.415	17.670	1
67	3	0.680	353.038	0.015	7.745	0.409	0
68	0	0.690	351.110	0.015	136.810	17.509	1
68	1	0.690	354.774	0.015	88.126	38.175	1
68	2	0.690	350.895	0.015	20.785	5.090	0
68	3	0.690	355.412	0.015	135.983	48.743	0
69	0	0.700	350.768	0.015	19.113	38.473	0
69	1	0.700	354.584	0.015	39.502	19.289	0
69	2	0.700	350.887	0.015	50.756	40.569	0
69	3	0.700	355.587	0.015	63.316	47.589	1
70	0	0.710	351.505	0.015	86.745	48.704	0
70	1	0.710	354.633	0.015	55.975	16.806	0
70	2	0.710	353.555	0.015	142.692	74.201	0
70	3	0.710	355.156	0.015	0.000	1.911	0
71	0	0.720	351.591	0.015	56.820	57.719	1
71	1	0.720	354.944	0.015	69.771	70.480	1
71	2	0.720	355.356	0.015	121.290	67.515	0
71	3	0.720	356.219	0.015	99.393	52.164	0
72	0	0.730	352.936	0.015	107.723	87.275	0
72	1	0.730	354.580	0.015	20.347	83.364	1
72	2	0.730	354.953	0.015	13.197	1.226	0
72	3	0.730	355.784	0.015	0.000	6.685	0
73	0	0.740	355.036	0.015	129.095	50.698	0
73	1	0.740	355.159	0.015	81.508	19.345	1
73	2	0.740	354.563	0.015	15.450	63.533	1
73	3	0.740	355.891	0.015	59.819	72.107	1
74	0	0.750	356.195	0.015	102.549	2.789	1
74	1	0.750	355.449	0.015	68.990	55.765	1
74	2	0.750	354.900	0.015	70.980	76.533	1
74	3	0.750	355.492	0.015	14.856	63.498	1
75	0	0.760	355.989	0.015	38.931	36.336	0
75	1	0.760	355.020	0.015	0.000	69.598	1
75	2	0.760	356.430	0.015	113.867	39.500	1
75	3	0.760	357.131	0.015	117.118	31.361	1
76	0	0.770	355.555	0.015	0.000	94.400	1
76	1	0.770	354.593	0.015	0.393	39.324	0
76	2	0.770	355.993	0.015	0.000	17.291	0
76	3	0.770	356.690	0.015	2.670	39.515	0
77	0	0.780	355.125	0.015	1.331	39.131	0
77	1	0.780	354.170	0.015	0.000	74.463	1
77	2	0.780	357.482	0.015	112.875	21.289	1
77	3	0.780	356.480	0.015	38.969	6.584	0
78	0	0.790	354.776	0.015	22.832	0.000	0
78	1	0.790	353.770	0.015	11.475	5.907	0
78	2	0.790	359.318	0.015	122.862	44.059	1
78	3	0.790	359.130	0.015	142.999	37.083	1
79	0	0.800	354.672	0.015	46.116	81.585	1
79	1	0.800	356.627	0.015	147.403	9.270	1
79	2	0.800	361.058	0.015	120.570	4.553	1
79	3	0.800	358.750	0.015	22.634	0.000	0
80	0	0.810	355.366	0.015	86.097	0.000	1
80	1	0.810	356.734	0.015	60.098	0.984	0
80	2	0.810	360.598	0.015	8.969	61.244	1
80	3	0.810	358.624	0.015	46.578	21.703	0
81	0	0.820	356.377	0.015	97.698	90.237	0
81	1	0.820	358.865	0.015	130.465	0.829	1
81	2	0.820	360.149	0.015	11.343	13.917	0
81	3	0.820	358.750	0.015	61.949	7.636	0
82	0	0.830	356.095	0.015	31.987	12.121	0
82	1	0.830	359.294	0.015	76.504	70.663	1
82	2	0.830	359.753	0.015	21.311	76.203	1
82	3	0.830	358.298	0.015	3.747	24.445	0
83	0	0.840	356.945	0.015	92.284	53.643	0
83	1	0.840	360.072	0.015	90.410	44.629	1
83	2	0.840	360.243	0.015	79.319	39.243	1
83	3	0.840	359.719	0.015	111.279	7.521	1
84	0	0.850	356.510	0.015	5.978	53.578	1
84	1	0.850	360.981	0.015	95.248	34.475	1
84	2	0.850	360.663	0.015	76.510	44.859	0
84	3	0.850	360.188	0.015	78.442	30.527	1
85	0	0.860	358.925	0.015	137.449	19.256	1
85	1	0.860	362.959	0.015	127.183	44.626	1
85	2	0.860	360.364	0.015	33.530	52.469	1
85	3	0.860	361.348	0.015	103.645	81.898	0
86	0	0.870	358.710	0.015	39.897	23.620	0
86	1	0.870	364.821	0.015	124.468	9.703	1
86	2	0.870	359.900	0.015	4.109	69.529	1
86	3	0.870	361.767	0.015	76.764	0.562	0
87	0	0.880	359.885	0.015	103.826	37.586	1
87	1	0.880	367.018	0.015	133.274	0.000	1
87	2	0.880	361.642	0.015	120.702	0.000	1
87	3	0.880	362.011	0.015	68.978	48.332	1
88	0	0.890	360.893	0.015	98.575	81.468	0
88	1	0.890	366.529	0.015	13.443	37.224	0
88	2	0.890	361.306	0.015	30.453	12.709	0
88	3	0.890	362.563	0.015	82.515	45.337	1
89	0	0.900	360.626	0.015	36.711	26.483	0
89	1	0.900	366.806	0.015	72.139	29.468	0
89	2	0.900	360.832	0.015	0.000	83.267	1
89	3	0.900	362.251	0.015	33.540	83.784	1
90	0	0.910	360.166	0.015	7.582	57.256	1
90	1	0.910	368.942	0.015	132.046	60.830	0
90	2	0.910	360.372	0.015	8.049	53.800	1
90	3	0.910	361.956	0.015	35.010	74.884	1
91	0	0.920	362.897	0.015	145.309	0.000	1
91	1	0.920	368.874	0.015	55.200	0.000	0
91	2	0.920	361.534	0.015	103.729	10.859	1
91	3	0.920	364.091	0.015	131.344	56.603	0
92	0	0.930	362.509	0.015	25.477	78.614	1
92	1	0.930	370.912	0.015	129.906	79.172	0
92	2	0.930	362.648	0.015	102.446	5.418	1
92	3	0.930	365.275	0.015	105.172	87.904	0
93	0	0.940	362.848	0.015	73.597	42.042	0
93	1	0.940	370.366	0.015	0.000	3.163	0
93	2	0.940	363.209	0.015	83.006	90.014	0
93	3	0.940	366.488	0.015	106.323	44.534	1
94	0	0.950	364.785	0.015	126.419	56.391	0
94	1	0.950	371.315	0.015	98.921	74.496	0
94	2	0.950	362.727	0.015	6.371	57.660	1
94	3	0.950	366.531	0.015	60.482	23.685	0
95	0	0.960	364.466	0.015	34.470	72.163	1
95	1	0.960	373.694	0.015	138.590	35.619	1
95	2	0.960	363.233	0.015	80.817	0.000	1
95	3	0.960	368.071	0.015	116.226	0.099	1
96	0	0.970	365.185	0.015	89.532	30.714	1
96	1	0.970	373.136	0.015	7.606	39.790	0
96	2	0.970	363.415	0.015	66.494	76.417	1
96	3	0.970	367.883	0.015	47.019	76.208	1
